P_max,n_primes,T,T_idx,S_approx,S_ref,error_S,rel_error_S,N_approx,N_ref,error_N,error_smooth,improvement,time_ms
2376,351,4808843.628725745,8,-0.9521178558182708,0.853499704118016,1.805617559936287,211.55456190839158,9603696.19438244,9603696,0.1943824402987957,1.1465002968907356,83.04558308218904,0.28967857360839844
3736,521,100.0,0,0.1482979776498174,-0.0024099022718167,0.1507078799216341,6253.692595095288,29.150641564975167,29,0.15064156497516734,0.002343587325349006,-6327.819580084726,0.39458274841308594
3736,521,124.1145468943691,1,0.1725625788466047,-0.0526081147436789,0.2251706935902836,428.0151354736369,40.225117263261275,40,0.225117263261275,0.05255468441467315,-328.3486158627237,0.4241466522216797
3736,521,294.5190769508315,2,-0.48696366574065875,-0.3476525069644657,0.13931115877619304,40.071955756220774,133.86066632498995,134,0.13933367501005023,0.34762999073060996,59.91897168675975,0.33664703369140625
3736,521,867.4148668796988,3,-0.044781833402841115,-0.0989633716843822,0.05418153828154108,54.74908277613958,543.0541738932011,543,0.05417389320109578,0.09895572660389007,45.254413200411854,1.6646385192871094
3736,521,7395.165672598326,4,0.042608718360965976,0.0441366995286279,0.0015279811676619237,3.461928925317232,7145.998471122104,7146,0.001528877895907499,0.044137596257314726,96.53610974418633,0.3533363342285156
3736,521,294187.83250721806,5,0.2835291880898088,0.1978798282030371,0.08564935988677172,43.28352246136484,456702.0856493373,456702,0.08564933732850477,0.19787985074799508,56.71649387001947,0.3921985626220703
3736,521,1511531.4462892578,6,0.2496353215464676,-0.0621446757586852,0.31177999730515277,501.7002558929259,2740249.3117799936,2740249,0.3117799935862422,0.06214467203244567,-401.70027999095754,0.4131793975830078
3736,521,3139939.9798384504,7,-1.0043622049195422,0.9580448740462444,1.9624070789657866,204.83456799655735,6057730.03759292,6057730,0.037592919543385506,1.0419551245868206,96.39207882793487,0.3440380096435547
3736,521,4808843.628725745,8,-1.009107216691908,0.853499704118016,1.8626069208099238,218.23170082228586,9603696.13739308,9603696,0.13739307969808578,1.1465002968907356,88.0163066620488,0.4203319549560547
5874,773,100.0,0,0.1605894739714041,-0.0024099022718167,0.1629993762432208,6763.733872093661,29.16293306129675,29,0.16293306129675145,0.002343587325349006,-6852.293159056386,0.5407333374023438
5874,773,124.1145468943691,1,0.13868499773699944,-0.0526081147436789,0.19129311248067835,363.6190222985762,40.191239682151675,40,0.19123968215167508,0.05255468441467315,-263.887033632879,0.5624294281005859
5874,773,294.5190769508315,2,-0.46462956900004815,-0.3476525069644657,0.11697706203558245,33.64769696527427,133.88300042173057,134,0.11699957826942864,0.34762999073060996,66.34364658137464,0.5464553833007812
5874,773,867.4148668796988,3,0.04171761895979122,-0.0989633716843822,0.14068099064417341,142.15460553712603,543.1406733455636,543,0.1406733455636413,0.09895572660389007,-42.157862300120044,0.5657672882080078
5874,773,7395.165672598326,4,-0.007637848679546167,0.0441366995286279,0.051774548208174065,117.30498374621807,7145.9482245550635,7146,0.051775444936538406,0.044137596257314726,-17.30463216595737,0.5965232849121094
5874,773,294187.83250721806,5,0.3246866140127598,0.1978798282030371,0.12680678580972268,64.08272483419127,456702.1268067633,456702,0.1268067632918246,0.19787985074799508,35.91729384649871,0.5614757537841797
5874,773,1511531.4462892578,6,0.21573542435380322,-0.0621446757586852,0.2778801001124884,447.1502936012222,2740249.2778800963,2740249,0.2778800963424146,0.06214467203244567,-347.1503143460693,0.5564689636230469
5874,773,3139939.9798384504,7,-1.088907720862197,0.9580448740462444,2.0469525949084413,213.6593650632732,6057729.953047404,6057730,0.04695259593427181,1.0419551245868206,95.49379864580152,0.5686283111572266
5874,773,4808843.628725745,8,-1.0012822687167047,0.853499704118016,1.8547819728347208,217.31489347748555,9603696.145218028,9603696,0.1452180277556181,1.1465002968907356,87.3337993762894,0.5729198455810547
